valb	2	4	6	10	14	18	20	22	24
10	0.00147105	0.00058999	0.00068249	0.00193644	0.00212141	0.00236378	0.00308313	0.00366538	0.00657738
12.91549665	0.0006171	0.00065885	0.0010634	0.00247425	0.00249507	0.00286669	0.00264276	0.00294017	0.00468702
16.68100537	0.000518	0.00062999	0.00107811	0.00208949	0.00193183	0.00248224	0.00237904	0.00288061	0.003506125
21.5443469	0.00054833	0.00060633	0.00110798	0.00164944	0.00181681	0.0029222	0.00213037	0.00263684	0.003351625
27.82559402	0.00045916	0.00063783	0.00118981	0.00172629	0.0017854	0.00247707	0.00250796	0.00248529	0.002810825
35.93813664	0.00046552	0.00053332	0.00143397	0.00186467	0.00177263	0.00237915	0.00222065	0.00247455	0.003165
46.41588834	0.00049771	0.0006637	0.00160698	0.00170767	0.00178026	0.00242855	0.00234091	0.0026483	0.00810395
59.94842503	0.00041336	0.00062041	0.00169586	0.00162238	0.00187031	0.00237061	0.00199528	0.00258588	0.01172145
77.42636827	0.00045558	0.00091781	0.00176362	0.00170744	0.00167164	0.00248129	0.00218338	0.00258003	0.0035311
100	0.00051976	0.00092159	0.00155814	0.00153525	0.0017366	0.00222966	0.00214225	0.00252947	0.002910975
