n	0.01	0.1	0.0001	0.000001	0.00000001	1E-10
2	0.00056121	0.00236095	0.0004065	0.0003613	0.00041364	0.00038304
6	0.00148578	0.00192658	0.00148282	0.00149952	0.00150461	0.00140504
10	0.00137642	0.00163418	0.00140754	0.00141628	0.00140668	0.00140763
14	0.00150618	0.00183181	0.00152633	0.00151397	0.00152762	0.00147994
18	0.0016399	0.0025838	0.00164698	0.00173063	0.00173342	0.00172826
22	0.00234763	0.00219697	0.00236452	0.00216177	0.00244727	0.00215137
26	0.00204206	0.00215543	0.00201798	0.00206586	0.00199958	0.0019524
