n	0.01	0.1	0.0001	0.000001	0.00000001	1E-10
2	0.00029457	0.00026078	0.00032662	0.00030375	0.00026968	0.00028686
6	0.00138293	0.00124139	0.00130443	0.00139956	0.00144231	0.00136434
10	0.00131091	0.0012436	0.00147766	0.00137603	0.00126317	0.00132948
14	0.00145778	0.00147127	0.00169289	0.00147508	0.0012913	0.00144495
18	0.00152804	0.00149937	0.0014575	0.00163493	0.00164138	0.00157307
22	0.00198985	0.00205482	0.00190887	0.0018239	0.00205136	0.00191211
26	0.0016477	0.00154909	0.0018741	0.00177777	0.00210315	0.00223561
